data_collection_site,excluded_from_data_processing,reason
Hütter,TRUE,missing data
Hütter,TRUE,missing data
Balas,TRUE,technical reasons
Balas,TRUE,technical reasons
Balas,TRUE,technical reasons
Balas,TRUE,technical reasons
Balas,TRUE,age (she was too old but forgot to tell us about it)
Balas,TRUE,because of her really strange behaviour during the whole procedure
Moran,TRUE,missing data
Mierop,TRUE,did not recode data
