date,time,group,subject,build,sex_response,sex_latency,age_response,age_latency
120718,11:51:14,1,1,4.0.10.0,male,4825,66,4825
120718,11:56:04,2,2,4.0.10.0,,737,,737
120718,5:17:04,3,3,4.0.10.0,male,11094,25,11094
120718,11:40:30,8,8,4.0.10.0,female,27969,24,27969
120718,11:46:37,13,13,4.0.10.0,male,8260,19,8260
120718,6:49:19,11,11,4.0.10.0,male,14060,21,14060
120718,11:52:19,12,12,4.0.10.0,female,32893,22,32893
120718,11:57:37,16,16,4.0.10.0,female,7830,25,7830
120718,12:01:44,17,17,4.0.10.0,female,21281,24,21281
120718,13:08:58,21,21,4.0.10.0,female,56163,22,56163
120718,4:12:00,22,22,4.0.10.0,male,13399,26,13399
120718,12:12:38,24,24,4.0.10.0,female,26051,22,26051
120718,12:12:01,25,25,4.0.10.0,female,56427,24,56427
120718,12:13:08,26,26,4.0.10.0,male,7809,20,7809
120718,7:12:55,23,23,4.0.10.0,female,22313,23,22313
120718,12:14:33,28,28,4.0.10.0,male,10239,26,10239
120718,12:16:50,20,20,4.0.10.0,female,34368,26,34368
120718,12:16:23,30,30,4.0.10.0,female,63664,22,63664
120718,12:16:56,27,27,4.0.10.0, other,258398,20,258398
120718,12:21:49,32,32,4.0.10.0,female,10008,25,10008
120718,12:40:44,34,34,4.0.10.0,female,12657,18,12657
120718,12:50:50,35,35,4.0.10.0,female,31521,26,31521
120718,13:02:17,46,46,4.0.10.0,female,7712,19,7712
120718,8:02:44,43,43,4.0.10.0,female,11862,26,11862
120718,13:02:49,47,47,4.0.10.0,male,6614,24,6614
120718,7:03:00,36,36,4.0.10.0,male,17848,21,17848
120718,13:03:35,60,60,4.0.10.0,male,7191,21,7191
120718,8:03:51,39,39,4.0.10.0,male,9996,21,9996
120718,7:03:53,42,42,4.0.10.0,male,13116,26,13116
120718,8:04:00,58,58,4.0.10.0,male,7439,26,7439
120718,13:03:53,49,49,4.0.10.0,female,53205,20,53205
120718,13:04:38,40,40,4.0.10.0,male,9512,24,9512
120718,8:05:08,72,72,4.0.10.0,female,12690,23,12690
120718,7:06:15,37,37,4.0.10.0,female,7477,24,7477
120718,8:06:12,57,57,4.0.10.0,female,16228,20,16228
120718,13:06:34,69,69,4.0.10.0,male,10416,23,10416
120718,13:06:36,66,66,4.0.10.0,female,12170,25,12170
120718,13:06:43,61,61,4.0.10.0,male,12575,21,12575
120718,13:06:48,70,70,4.0.10.0,male,11146,25,11146
120718,13:06:55,76,76,4.0.10.0,male,7131,24,7131
120718,13:06:46,50,50,4.0.10.0,female,26619,25,26619
120718,13:07:15,62,62,4.0.10.0,male,7894,23,7894
120718,13:07:02,64,64,4.0.10.0,female,22979,19,22979
120718,13:07:28,73,73,4.0.10.0,male,6964,23,6964
120718,13:07:37,56,56,4.0.10.0,male,17534,24,17534
120718,8:08:10,82,82,4.0.10.0,female,14111,27,14111
120718,13:09:03,75,75,4.0.10.0,female,9692,25,9692
120718,13:08:53,84,84,4.0.10.0,female,33981,22,33981
120718,5:09:23,89,89,4.0.10.0,male,17667,20,17667
120718,13:10:37,78,78,4.0.10.0,male,11452,22,11452
120718,13:10:17,85,85,4.0.10.0,male,32723,23,32723
120718,8:10:36,55,55,4.0.10.0,male,18751,22,18751
120718,13:10:57,88,88,4.0.10.0,male,8012,21,8012
120718,8:10:13,41,41,4.0.10.0,male,51316,18,51316
120718,13:11:21,98,98,4.0.10.0,male,8914,26,8914
120718,13:15:09,99,99,4.0.10.0,male,7692,25,7692
120718,13:11:53,59,59,4.0.10.0,male,14825,23,14825
120718,13:11:55,53,53,4.0.10.0,male,11887,23,11887
120718,13:10:51,95,95,4.0.10.0,male,65270,22,65270
120718,13:12:47,90,90,4.0.10.0,male,9086,20,9086
120718,14:12:50,103,103,4.0.10.0,male,40417,20,40417
120718,8:12:46,93,93,4.0.10.0,male,49476,21,49476
120718,10:13:39,92,92,4.0.10.0,female,23225,26,23225
120718,13:12:41,91,91,4.0.10.0,female,106220,25,106220
120718,13:14:24,86,86,4.0.10.0,female,10395,25,10395
120718,5:13:47,102,102,4.0.10.0,male,58638,40,58638
120718,13:15:00,104,104,4.0.10.0,male,16852,24,16852
120718,13:14:57,68,68,4.0.10.0,female,20077,22,20077
120718,13:15:32,116,116,4.0.10.0,female,17192,26,17192
120718,13:15:10,114,114,4.0.10.0,male,62418,18,62418
120718,14:16:07,97,97,4.0.10.0,male,11960,19,11960
120718,13:16:26,63,63,4.0.10.0,female,25402,24,25402
120718,13:16:59,113,113,4.0.10.0, other,11855,25,11855
120718,13:16:46,117,117,4.0.10.0,male,31348,26,31348
120718,13:17:36,121,121,4.0.10.0,male,7909,20,7909
120718,5:17:21,127,127,4.0.10.0,male,23036,42,23036
120718,13:17:50,122,122,4.0.10.0,male,23700,19,23700
120718,13:19:55,119,119,4.0.10.0, other,33724,24,33724
120718,13:20:48,125,125,4.0.10.0,female,9997,25,9997
120718,13:20:30,126,126,4.0.10.0,female,11230,25,11230
120718,13:21:44,128,128,4.0.10.0,male,24149,20,24149
120718,13:22:14,132,132,4.0.10.0, other,9248,24,9248
120718,13:22:46,142,142,4.0.10.0,female,15198,22,15198
120718,13:22:04,141,141,4.0.10.0,male,103880,22,103880
120718,13:24:02,146,146,4.0.10.0,female,6429,23,6429
120718,13:23:17,144,144,4.0.10.0,female,69300,20,69300
120718,13:24:22,143,143,4.0.10.0,male,10527,26,10527
120718,13:25:06,150,150,4.0.10.0,male,14320,20,14320
120718,13:25:11,145,145,4.0.10.0,female,15409,23,15409
120718,13:25:38,124,124,4.0.10.0,male,11638,26,11638
120718,7:24:59,139,139,4.0.10.0,male,34112,24,34112
120718,14:26:05,148,148,4.0.10.0,male,7361,23,7361
120718,13:27:04,154,154,4.0.10.0,male,10605,26,10605
120718,13:26:35,155,155,4.0.10.0,male,44314,19,44314
120718,13:28:56,158,158,4.0.10.0,female,24048,19,24048
120718,8:29:29,175,175,4.0.10.0,male,12949,25,12949
120718,13:29:54,118,118,4.0.10.0,female,15208,20,15208
120718,13:30:53,173,173,4.0.10.0,female,9143,19,9143
120718,13:31:40,153,153,4.0.10.0,female,10974,22,10974
120718,13:32:10,165,165,4.0.10.0,female,7527,21,7527
120718,13:32:06,169,169,4.0.10.0,female,12047,26,12047
120718,13:32:15,180,180,4.0.10.0,female,16978,24,16978
120718,8:33:02,171,171,4.0.10.0,male,9852,25,9852
120718,13:32:09,172,172,4.0.10.0,male,71673,24,71673
120718,13:33:27,163,163,4.0.10.0,male,15546,20,15546
120718,13:33:36,187,187,4.0.10.0,male,11664,22,11664
120718,13:34:43,179,179,4.0.10.0,female,28174,26,28174
120718,8:35:21,186,186,4.0.10.0,female,13422,18,13422
120718,13:36:11,197,197,4.0.10.0,male,12759,26,12759
120718,13:35:42,191,191,4.0.10.0,female,25697,26,25697
120718,13:37:01,196,196,4.0.10.0,female,24634,26,24634
120718,13:36:47,194,194,4.0.10.0,female,72769,25,72769
120718,13:37:48,178,178,4.0.10.0,male,13989,18,13989
120718,13:37:47,204,204,4.0.10.0,female,13530,26,13530
120718,13:37:57,207,207,4.0.10.0,male,5834,25,5834
120718,13:39:02,195,195,4.0.10.0,female,21971,25,21971
120718,8:39:21,203,203,4.0.10.0,male,8600,24,8600
120718,13:40:30,210,210,4.0.10.0,female,21587,25,21587
120718,13:41:26,224,224,4.0.10.0,female,8979,23,8979
120718,13:41:47,219,219,4.0.10.0,female,14594,21,14594
120718,13:41:09,215,215,4.0.10.0,male,84328,20,84328
120718,8:42:40,221,221,4.0.10.0,female,21085,22,21085
120718,13:41:57,225,225,4.0.10.0,male,92589,22,92589
120718,13:42:33,217,217,4.0.10.0,female,50627,22,50627
120718,13:43:20,227,227,4.0.10.0,male,18449,23,18449
120718,7:43:26,213,213,4.0.10.0,female,17760,20,17760
120718,14:43:50,226,226,4.0.10.0,female,9798,26,9798
120718,13:43:43,230,230,4.0.10.0,male,20095,24,20095
120718,8:43:07,218,218,4.0.10.0,female,31577,26,31577
120718,13:44:19,234,234,4.0.10.0,female,26397,23,26397
120718,13:44:57,233,233,4.0.10.0,male,6418,18,6418
