"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"VP01_01"	"PR01_01"	"PR02_01"	"PR03_01"	"PR04_01"	"PR05_01"	"PR06_01"	"PR07_01"	"PR08_01"	"PR09_01"	"PR10_01"	"PR11_01"	"PR12_01"	"PR13_01"	"PR14_01"	"PR15_01"	"PR16_01"	"PR17_01"	"PR18_01"	"PR19_01"	"PR20_01"	"FR01_01"	"FR02_01"	"FR03_01"	"FR04_01"	"FR05_01"	"FR06_01"	"FR07_01"	"FR08_01"	"FR09_01"	"FR10_01"	"FR11_01"	"FR12_01"	"FR13_01"	"FR14_01"	"FR15_01"	"FR16_01"	"FR17_01"	"FR18_01"	"FR19_01"	"FR20_01"	"SD01_01"	"SD02"	"SV01_01"	"SV01_02"	"SV01_03"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
61			"base"	"interview"	2019-10-22 16:25:10	"30"	6	6	4	3	6	2	2	4	6	2	5	5	2	3	6	6	5	6	8	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P15,P05,P01,P10,P09,P06,P19,P13,P14,P08,P17,P12,P16,P02,P20,P03,P07,P11,P18,P04"	"6,6,4,3,6,2,2,4,6,2,5,5,2,3,6,6,5,6,8,6"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	12	138	4	8	167		2019-10-22 16:27:57	T	F	5	5	0	0	1.07	4
63			"base"	"interview"	2019-10-22 16:25:36	"31"	3	4	5	7	4	3	2	5	4	6	5	4	5	4	5	6	5	6	7	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21	1	"P15,P01,P19,P20,P02,P07,P04,P06,P12,P11,P18,P16,P09,P13,P08,P17,P03,P14,P10,P05"	"3,4,5,7,4,3,2,5,4,6,5,4,5,4,5,6,5,6,7,6"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	14	189	8	7	223		2019-10-22 16:29:19	T	F	5	5	0	0	0.91	3
65			"base"	"interview"	2019-10-22 16:27:54	"32"	4	3	5	2	8	5	4	5	5	8	3	5	7	9	8	5	3	5	8	5	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	4	4	20	1	"P11,P06,P18,P20,P14,P01,P09,P16,P04,P15,P08,P19,P03,P17,P05,P07,P13,P10,P12,P02"	"4,3,5,2,8,5,4,5,5,8,3,5,7,9,8,5,3,5,8,5"	"1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,4"	6	10	156	2	48	182		2019-10-22 16:31:36	T	F	5	5	0	0	1.09	13
67			"base"	"interview"	2019-10-22 17:22:05	"33"	5	3	4	4	5	7	4	7	6	3	7	1	8	8	9	9	6	7	7	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	1	"P14,P05,P15,P11,P18,P01,P19,P12,P02,P13,P06,P08,P10,P04,P09,P17,P03,P16,P20,P07"	"5,3,4,4,5,7,4,7,6,3,7,1,8,8,9,9,6,7,7,1"	"1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	8	18	183	7	8	224		2019-10-22 17:25:49	T	F	5	5	0	0	0.77	0
69			"base"	"interview"	2019-10-22 17:25:08	"34"	8	8	2	4	1	1	1	2	1	2	1	3	1	2	5	2	3	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	1	"P17,P12,P13,P01,P08,P02,P16,P03,P06,P05,P11,P18,P07,P19,P09,P20,P04,P10,P14,P15"	"8,8,2,4,1,1,1,2,1,2,1,3,1,2,5,2,3,1,1,4"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	10	130	4	8	157		2019-10-22 17:27:45	T	F	5	5	0	0	1.13	7
70			"base"	"interview"	2019-10-23 08:30:15	"35"	7	9	8	6	8	2	1	4	5	2	6	6	7	2	2	5	6	3	8	4	6	8	8	8	8	1	4	2	3	4	5	6	8	3	6	7	5	2	8	7	21	2	"P02,P20,P15,P16,P04,P19,P11,P01,P13,P03,P17,P14,P18,P08,P12,P06,P07,P09,P10,P05"	"7,9,8,6,8,2,1,4,5,2,6,6,7,2,2,5,6,3,8,4"	"6,8,8,8,8,1,4,2,3,4,5,6,8,3,6,7,5,2,8,7"	7	23	226	1	6	263		2019-10-23 08:34:39	T	F	5	5	0	0	1.28	33
71			"base"	"interview"	2019-10-23 08:30:47	"36"	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P04,P06,P05,P14,P16,P10,P09,P12,P19,P02,P13,P08,P15,P07,P01,P18,P11,P03,P17,P20"	"5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	6	16	178	2	9	211		2019-10-23 08:34:19	T	F	5	5	0	0	1.11	10
72			"base"	"interview"	2019-10-23 08:35:08	"37"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3	3	2	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	1	"P17,P16,P09,P15,P12,P08,P10,P20,P07,P03,P06,P02,P05,P11,P18,P13,P04,P14,P19,P01"	"5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,2,4,4"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	13	138	3	7	166		2019-10-23 08:37:54	T	F	5	5	0	0	1.15	8
73			"base"	"interview"	2019-10-23 09:18:24	"38"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	1	"P05,P20,P03,P17,P10,P16,P15,P04,P11,P02,P06,P01,P12,P09,P13,P07,P18,P14,P19,P08"	"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	8	18	93	1	10	130		2019-10-23 09:20:34	T	F	5	5	0	0	1.38	36
74			"base"	"interview"	2019-10-23 12:47:22	"39"	4	3	6	2	4	1	5	7	3	5	4	6	5	6	6	7	2	4	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P14,P19,P17,P20,P11,P18,P02,P12,P08,P13,P15,P03,P06,P10,P16,P09,P04,P07,P05,P01"	"4,3,6,2,4,1,5,7,3,5,4,6,5,6,6,7,2,4,5,5"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	12	127	9	8	156		2019-10-23 12:50:03	T	F	5	5	0	0	0.98	5
