"","name","mean_liking","sd_liking","like_d.es","n","name","mean_fami","sd_fami","fmi_d.es","n"
"1","Amaura",2.08387096774194,1.72436639487147,1.20848502611724,"155","Amaura",1.68387096774194,2.54761115177438,1.20848502611724,"155"
"2","Axew",0.948387096774194,1.89939685706059,0.499309606230406,"155","Axew",2.45806451612903,2.95911251542207,0.499309606230406,"155"
"3","Beheeyem",-1,2.16224991046934,0.462481230850387,"155","Beheeyem",1.58064516129032,2.5555413886017,0.462481230850387,"155"
"4","Bergmite",0.167741935483871,1.84045221305924,0.0911416956624189,"155","Bergmite",1.54193548387097,2.30819744613759,0.0911416956624189,"155"
"5","Carbink",0.6,1.83614503006396,0.326771573146975,"155","Carbink",1.92258064516129,2.69327079639977,0.326771573146975,"155"
"6","Chespin",2.03225806451613,1.63333518576995,1.24423822019002,"155","Chespin",2.69677419354839,3.1997852881465,1.24423822019002,"155"
"7","Cosmog",0.858064516129032,2.30594575824465,0.372109583697327,"155","Cosmog",1.85806451612903,2.78082186692188,0.372109583697327,"155"
"8","Cottonee",0.845161290322581,1.96443024185518,0.430232274129735,"155","Cottonee",2.06451612903226,2.76498847923867,0.430232274129735,"155"
"9","Cranidos",0.335483870967742,2.28284801433568,0.146958478558797,"155","Cranidos",2.48387096774194,3.16300621164911,0.146958478558797,"155"
"10","Deino",0.806451612903226,2.04842915486809,0.393692703985731,"155","Deino",1.92903225806452,2.73531421642725,0.393692703985731,"155"
"11","Drampa",0.72258064516129,1.98545190600315,0.363937621947185,"155","Drampa",1.63225806451613,2.5200993456987,0.363937621947185,"155"
"12","Drilbur",1.65806451612903,1.8775457511759,0.883102057614622,"155","Drilbur",1.95483870967742,2.68797692351496,0.883102057614622,"155"
"13","Duosion",1.16129032258065,1.84982930405119,0.62778242297134,"155","Duosion",1.69032258064516,2.61008966839919,0.62778242297134,"155"
"14","Eelektrik",-1.25161290322581,2.22031221738961,0.563710316694699,"155","Eelektrik",1.74838709677419,2.63737755519827,0.563710316694699,"155"
"15","Espurr",1.68387096774194,1.75349313231069,0.960295159823634,"155","Espurr",2.06451612903226,2.86192519744614,0.960295159823634,"155"
"16","Fomantis",0.954838709677419,1.76672687120926,0.540456323633016,"155","Fomantis",1.59354838709677,2.2583086827114,0.540456323633016,"155"
"17","Foongus",0.967741935483871,1.93873487614559,0.499161565302754,"155","Foongus",1.98709677419355,2.64080639193123,0.499161565302754,"155"
"18","Frillish",0.361290322580645,2.12860502752799,0.169731029433968,"155","Frillish",1.71612903225806,2.57044854014397,0.169731029433968,"155"
"19","Froakie",1.10967741935484,1.91564895902852,0.579269711251056,"155","Froakie",2.80645161290323,3.16863027926413,0.579269711251056,"155"
"20","Gastrodon",0.716129032258065,1.85078024511558,0.386933583361941,"155","Gastrodon",2.35483870967742,2.94040799246094,0.386933583361941,"155"
"21","Golett",0.251612903225806,2.1459522403852,0.11725000141692,"155","Golett",1.61290322580645,2.46636358000108,0.11725000141692,"155"
"22","Goodra",1.08387096774194,2.00633684004209,0.54022382787887,"155","Goodra",1.98709677419355,2.87620578164466,0.54022382787887,"155"
"23","Goomy",0.916129032258065,2.08568042623634,0.439247077708467,"155","Goomy",1.94838709677419,2.70111460492207,0.439247077708467,"155"
"24","Gourgeist",-0.574193548387097,2.23591808941104,0.256804375395677,"155","Gourgeist",1.67096774193548,2.49443452566885,0.256804375395677,"155"
"25","Grubbin",-0.251612903225806,1.90554061724967,0.132042791923778,"155","Grubbin",1.56774193548387,2.47852950444388,0.132042791923778,"155"
"26","Inkay",1.60645161290323,1.75623850624717,0.914711531030019,"155","Inkay",1.95483870967742,2.72873581757711,0.914711531030019,"155"
"27","Jangmo",0.503225806451613,1.78512684095297,0.28189918772549,"155","Jangmo",1.50322580645161,2.39147347272728,0.28189918772549,"155"
"28","Kricketot",0.690322580645161,1.92241643776813,0.359091072612034,"155","Kricketot",2.40645161290323,3.15342891953593,0.359091072612034,"155"
"29","Larvesta",-0.845161290322581,2.15666269205989,0.391883855289092,"155","Larvesta",1.49032258064516,2.43184431623057,0.391883855289092,"155"
"30","Lillipup",2.43225806451613,1.57916365682857,1.5402191242172,"155","Lillipup",2.81290322580645,3.04679328290512,1.5402191242172,"155"
"31","Magearna",-0.0258064516129032,2.22427103802739,0.0116022063731,"155","Magearna",1.40645161290323,2.34020970919982,0.0116022063731,"155"
"32","Manaphy",2.47096774193548,1.58855352574204,1.55548283510387,"155","Manaphy",2.90322580645161,3.28272573144653,1.55548283510387,"155"
"33","Meowstic",1.67096774193548,1.70982522619929,0.977274002238121,"155","Meowstic",1.96129032258065,2.62080554427065,0.977274002238121,"155"
"34","Mienshao",0.961290322580645,1.80865118347269,0.531495697658475,"155","Mienshao",1.92903225806452,2.70187447539127,0.531495697658475,"155"
"35","Minccino",2.48387096774194,1.6762467300865,1.48180510849603,"155","Minccino",2.39354838709677,2.97062845726036,1.48180510849603,"155"
"36","Oshawott",1.54193548387097,1.85597913976403,0.83079354225232,"155","Oshawott",2.85161290322581,3.27880550863707,0.83079354225232,"155"
"37","Palpitoad",0.187096774193548,2.22087819524314,0.0842445004837672,"155","Palpitoad",1.66451612903226,2.60687756539733,0.0842445004837672,"155"
"38","Petilil",1.79354838709677,1.61042373303308,1.11371209347418,"155","Petilil",2.21935483870968,2.75933120012317,1.11371209347418,"155"
"39","Phantump",-0.503225806451613,2.43719605110822,0.206477360006714,"155","Phantump",1.61290322580645,2.56192677281675,0.206477360006714,"155"
"40","Poipole",-0.47741935483871,2.11775268006174,0.225436784631901,"155","Poipole",1.27741935483871,2.25784486333665,0.225436784631901,"155"
