"","Amaura_familiar_response","Axew_familiar_response","Beheeyem_familiar_response","Bergmite_familiar_response","Carbink_familiar_response","Chespin_familiar_response","Cosmog_familiar_response","Cottonee_familiar_response","Cranidos_familiar_response","Deino_familiar_response","Drampa_familiar_response","Drilbur_familiar_response","Duosion_familiar_response","Eelektrik_familiar_response","Espurr_familiar_response","Fomantis_familiar_response","Foongus_familiar_response","Frillish_familiar_response","Froakie_familiar_response","Gastrodon_familiar_response","Golett_familiar_response","Goodra_familiar_response","Goomy_familiar_response","Gourgeist_familiar_response","Grubbin_familiar_response","Inkay_familiar_response","Jangmo_familiar_response","Kricketot_familiar_response","Larvesta_familiar_response","Lillipup_familiar_response","Magearna_familiar_response","Manaphy_familiar_response","Meowstic_familiar_response","Mienshao_familiar_response","Minccino_familiar_response","Oshawott_familiar_response","Palpitoad_familiar_response","Petilil_familiar_response","Phantump_familiar_response","Poipole_familiar_response","Ribombee_familiar_response","Rowlet_familiar_response","Scatterbug_familiar_response","Scraggy_familiar_response","Shellos_familiar_response","Shelmet_familiar_response","Sliggoojpg_familiar_response","Snivy_familiar_response","Spritzee_familiar_response","Stunfisk_familiar_response","Swadloon_familiar_response","Togedemaru_familiar_response","Tympole_familiar_response","Uxie_familiar_response","Venipede_familiar_response","Victini_familiar_response","Virizion_familiar_response","Wimpod_familiar_response","Yamask_familiar_response","Zorua_familiar_response"
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,7,0,0,8,8,5,8,0,0,2,0,5,0,2,2,0,0,8,1,0,0,3,2,0,4,0,0,0,8,0,0,6,2,1,5,0,0,0,0,0,8,0,8,0,0,1,1,0,2,0,1,0,0,0,2,5,0,0,0
"47",6,8,7,8,7,8,5,8,8,8,5,8,8,8,8,0,8,8,8,8,8,8,8,8,1,8,0,8,8,8,1,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,7,8,8,3,8,8,8,8,6,1,8,8
"48",0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,2,0,7,7,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,8,0,0,0,0,0,7,0,7,0,0,0,8,0,0,4,0,0,8,0,7,0,0,0,6
"49",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,8,0,2,0,8,0,8,8,3,0,8,1,0,7,0,3,6,8,5,1,7,0,0,0,8,3,8,0,8,2,8,6,1,8,8,5,5,0,0,0,8,3,6,8,8,2,7,4,8,4,2,5,8,8,8,8,0,1,8
"51",0,3,0,0,7,8,8,2,7,0,7,0,3,0,7,6,0,1,8,7,2,7,8,5,8,7,6,8,0,7,7,7,6,0,0,8,0,6,0,4,5,8,0,5,7,0,7,7,0,8,0,0,0,7,0,7,0,0,6,6
"52",2,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,6,0,0,0,2,1,0,0,7,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",1,2,3,2,2,1,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,2,1,2,2,4,0,1,2,2,1,1,2,3,2,2,2,3,2,2,2,2,0,1,2,1,2,2,2,2,1,2,4,2,2,1
"56",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"57",0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,6,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",2,2,3,6,2,8,8,4,8,5,1,4,6,2,8,2,0,2,8,8,2,8,6,4,5,4,3,8,3,3,5,8,2,3,4,8,2,3,8,1,3,8,3,8,8,6,6,8,3,2,3,4,6,8,5,3,3,2,8,6
"60",2,1,0,0,0,1,0,0,1,0,0,3,0,2,0,0,4,0,0,3,3,2,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,5,4,0,0,0
"61",1,2,7,2,1,2,3,2,8,3,2,2,1,1,1,3,3,8,2,7,8,1,2,4,4,0,5,7,3,2,4,8,3,2,5,5,1,4,2,4,4,7,7,7,8,2,2,6,1,0,2,2,2,7,1,3,8,4,3,4
"62",3,3,1,2,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,4,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"63",8,7,8,7,8,8,8,8,7,8,8,8,8,8,8,7,7,8,7,7,7,7,8,8,7,8,8,8,7,7,7,8,8,8,8,8,7,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,7,8,8,8,8,8,8,8
"64",6,2,0,0,7,8,0,0,0,0,0,0,6,0,7,0,7,0,8,0,0,1,7,0,0,7,0,0,0,0,0,0,7,5,0,1,0,0,0,0,0,0,7,7,0,7,7,0,6,7,0,0,0,0,0,0,0,0,0,0
"65",2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,3,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,0,1,1,5,1,1,1
"66",7,8,7,4,5,2,3,5,4,6,4,5,3,8,5,4,4,3,7,2,6,7,6,4,5,4,2,3,1,5,4,3,4,4,0,3,2,4,5,4,5,5,1,7,6,5,6,6,3,3,4,4,1,6,5,3,2,6,5,1
"67",1,2,0,4,0,0,1,2,0,0,1,1,0,0,0,0,5,1,5,4,5,2,1,5,0,2,1,0,5,5,1,4,1,0,1,0,4,2,4,5,1,5,1,0,4,0,1,2,1,1,4,0,0,4,2,2,2,4,5,0
