date	time	subject	blockcode	blocknum	trialcode	trialnum	response	correct	latency	stimulusnumber1	stimulusitem1	stimulusnumber2	stimulusitem2
022719	20:31:56	1	all	2	filler	1	23	1	833	14	t3-t5.jpg	0	0
022719	20:31:56	1	all	2	filler	2	23	1	255	12	t3-t1.jpg	0	0
022719	20:31:56	1	all	2	target	3	23	1	195	7	f1-cs2.jpg	0	0
022719	20:31:56	1	all	2	filler	4	23	1	192	9	t2-t1.jpg	0	0
022719	20:31:56	1	all	2	filler	5	23	1	208	16	t4-t1.jpg	0	0
022719	20:31:56	1	all	2	target	6	23	1	169	1	cs1-cs2.jpg	0	0
022719	20:31:56	1	all	2	filler	7	23	1	132	5	f2-t2.jpg	0	0
022719	20:31:56	1	all	2	filler	8	23	1	163	6	f2-t5.jpg	0	0
022719	20:31:56	1	all	2	target	9	23	1	169	8	t1-cs1.jpg	0	0
022719	20:31:56	1	all	2	filler	10	23	1	194	8	t1-f2.jpg	0	0
022719	20:31:56	1	all	2	filler	11	23	1	186	2	f1-t3.jpg	0	0
022719	20:31:56	1	all	2	target	12	23	1	171	6	cs2-t5.jpg	0	0
022719	20:31:56	1	all	2	filler	13	23	1	156	18	t5-f2.jpg	0	0
022719	20:31:56	1	all	2	filler	14	23	1	170	17	t4-t2.jpg	0	0
022719	20:31:56	1	all	2	target	15	23	1	164	3	cs1-t2.jpg	0	0
022719	20:31:56	1	all	2	filler	16	23	1	152	10	t2-t3.jpg	0	0
022719	20:31:56	1	all	2	filler	17	23	1	176	19	t5-t1.jpg	0	0
022719	20:31:56	1	all	2	target	18	23	1	140	4	cs2-cs1.jpg	0	0
022719	20:31:56	1	all	2	filler	19	23	1	167	15	t4-f1.jpg	0	0
022719	20:31:56	1	all	2	filler	20	23	1	186	7	t1-f1.jpg	0	0
022719	20:31:56	1	all	2	target	21	23	1	184	5	cs2-t1.jpg	0	0
022719	20:31:56	1	all	2	filler	22	23	1	150	1	f1-t2.jpg	0	0
022719	20:31:56	1	all	2	filler	23	23	1	153	20	t5-t2.jpg	0	0
022719	20:31:56	1	all	2	target	24	23	1	166	10	t2-cs2.jpg	0	0
022719	20:31:56	1	all	2	filler	25	23	1	191	4	f2-f1.jpg	0	0
022719	20:31:56	1	all	2	filler	26	23	1	152	13	t3-t4.jpg	0	0
022719	20:31:56	1	all	2	target	27	23	1	153	9	t5-cs1.jpg	0	0
022719	20:31:56	1	all	2	filler	28	23	1	143	3	f1-t4.jpg	0	0
022719	20:31:56	1	all	2	filler	29	23	1	178	11	t3-f1.jpg	0	0
022719	20:31:56	1	all	2	target	30	23	1	200	2	cs1-f1.jpg	0	0
022719	22:17:13	1	all	2	filler	1	Ctrl+'Q'	1	14250	9	t2-t1.jpg	0	0
022719	22:27:41	1	all	2	filler	1	Ctrl+'Q'	1	4354	3	f1-t4.jpg	0	0
